iter	RMSE
0	1.932428417
1	1.796585036
2	1.709524035
3	1.634275431
4	1.559431876
5	1.488560346
6	1.428775386
7	1.384652638
8	1.340890833
9	1.315691114
10	1.280027873
11	1.247018945
12	1.225605246
13	1.204480754
14	1.181529613
15	1.159638581
16	1.127378691
17	1.104707812
18	1.085782224
19	1.065235904
20	1.043723256
21	1.030681987
22	1.014849675
23	0.9977720877
24	0.9759262474
25	0.9634968539
26	0.9484471143
27	0.9366537518
28	0.9241060043
29	0.9044550188
30	0.8936433171
31	0.884204758
32	0.8715976577
33	0.8627398409
34	0.854358786
35	0.8448010494
36	0.8359638586
37	0.824695875
38	0.8161848643
39	0.8079003205
40	0.8009983341
41	0.7939486593
42	0.7878694489
43	0.7793881343
44	0.7713579441
45	0.7628135606
46	0.756876554
47	0.7504586546
48	0.7403460142
49	0.7346772394
50	0.7268565859
51	0.7207918406
52	0.7142810086
53	0.7081447043
54	0.7020946355
55	0.6957842857
56	0.6912684949
57	0.6859179953
58	0.6808501742
59	0.6758371463
60	0.671075429
61	0.6659015029
62	0.6614384892
63	0.657844799
64	0.6537080677
65	0.6498951687
66	0.645656971
67	0.6414256411
68	0.6360368639
69	0.6324538117
70	0.6283300949
71	0.6242901404
72	0.6207158874
73	0.617012652
74	0.6134075778
75	0.6097366337
76	0.6070079019
77	0.6037127176
78	0.6004447185
79	0.5973416318
80	0.5941223235
81	0.5913530947
82	0.5883914115
83	0.585462184
84	0.5814685624
85	0.5758545047
86	0.5731496282
87	0.5705905502
88	0.5663752301
89	0.564025306
90	0.5615574354
91	0.5591661592
92	0.5566120352
93	0.5534959853
94	0.5510223047
95	0.5477622884
96	0.5451953414
97	0.5429540171
98	0.5406864641
99	0.53795417
100	0.5356989557
101	0.533672866
102	0.5316898638
103	0.5299784188
104	0.5265666902
105	0.5248265831
106	0.5227850078
107	0.5207410974
108	0.5191232366
109	0.5169912943
110	0.5145277096
111	0.5115362355
112	0.5094671723
113	0.5076819708
114	0.5062754477
115	0.5045900646
116	0.5028551137
117	0.5014451052
118	0.499876972
119	0.4980737167
120	0.4966704839
121	0.495053242
122	0.4937346136
123	0.491272672
124	0.4886161724
125	0.4873756711
126	0.4846245881
127	0.4832573796
128	0.4814474423
129	0.4802601443
130	0.4790682016
131	0.47738668
132	0.4760088232
133	0.4749243771
134	0.4730200629
135	0.470754426
136	0.4688740511
137	0.4674107787
138	0.4663207974
139	0.4654113114
140	0.4642831093
141	0.4633172015
142	0.4619136366
143	0.4607827583
144	0.4598331111
145	0.4586114228
146	0.4574455929
147	0.4563093551
148	0.4549108515
149	0.4539125968
150	0.4525721825
151	0.4508505089
152	0.4496646335
153	0.4488435041
154	0.4477447912
155	0.4466159249
156	0.4458465708
157	0.4448450537
158	0.4441154259
159	0.442856781
160	0.4419265193
161	0.441092758
162	0.4397886687
163	0.4385627182
164	0.4378311018
165	0.4366656546
166	0.4359040649
167	0.4349302188
168	0.4337060415
169	0.4326549249
170	0.4318760173
171	0.4311210266
172	0.4302242307
173	0.4289482384
174	0.4280362529
175	0.4273404561
176	0.4264971315
177	0.4251950986
178	0.4241773563
179	0.4234312611
180	0.4227014289
181	0.4220736288
182	0.4209235867
183	0.4200215238
184	0.4188813145
185	0.4180363132
186	0.416577749
187	0.4155893358
188	0.4140991712
189	0.4134535385
190	0.4127703207
191	0.4117768133
192	0.4110005504
193	0.4102260895
194	0.4093906004
195	0.4080433255
196	0.4067876553
197	0.4059934978
198	0.4052026249
199	0.4039778589
200	0.4034209778
201	0.4025740958
202	0.4018945247
203	0.4010004268
204	0.4000956985
205	0.399214277
206	0.3984626571
207	0.3980202511
208	0.3973917063
209	0.3964219084
210	0.3958176192
211	0.3954211153
212	0.394793739
213	0.3942972684
214	0.3937758477
215	0.3932726358
216	0.3929553677
217	0.3920447245
218	0.3912244129
219	0.3905801163
220	0.3899773808
221	0.3883689011
222	0.3878081966
223	0.3871703818
224	0.3866985065
225	0.3859512622
226	0.3851384059
227	0.3844091503
228	0.3838557202
229	0.3833709152
230	0.3829631627
231	0.3825381361
232	0.381721805
233	0.3813489567
234	0.3808564685
235	0.3803035141
236	0.3795484649
237	0.37916672
238	0.3786583621
239	0.377864667
240	0.3769016971
241	0.3762115323
242	0.375590799
243	0.3750245595
244	0.3742766777
245	0.373289289
246	0.372270964
247	0.3717576578
248	0.3713106366
249	0.3707967577
250	0.37019584
251	0.3697578841
252	0.3695416524
253	0.3690535184
254	0.3685883051
255	0.3680637109
256	0.367658637
257	0.3665993587
258	0.3661723446
259	0.3657166139
260	0.3652247242
261	0.3644557243
262	0.3638964262
263	0.3630230942
264	0.3624174491
265	0.3618003005
266	0.3613608306
267	0.3607561326
268	0.3599793745
269	0.3592382481
270	0.358883705
271	0.3584614149
272	0.3580364288
273	0.3575366271
274	0.3569895307
275	0.3567196191
276	0.3562697674
277	0.3558756866
278	0.3553895172
279	0.3548785962
280	0.3544247974
281	0.3541279698
282	0.3533120912
283	0.3527065244
284	0.3519721316
285	0.3512180674
286	0.3504964775
287	0.3502266394
288	0.3498585847
289	0.3493133401
290	0.3489629011
291	0.3483962616
292	0.348082994
293	0.3476628714
294	0.3471423817
295	0.3466806784
296	0.3463616358
297	0.3458675791
298	0.3454691779
299	0.3452498669
300	0.3446223396
301	0.3440014967
302	0.3434549791
303	0.3432854111
304	0.3423374425
